epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2712.85,1.39692,1.1187,1.38504,0.78218,0.72611,0.79405,0.48334,1.42292,0.95958,1.47842,0.005941,0.005941,0.005941
84,2745.85,1.38775,1.11002,1.37744,0.76471,0.69064,0.77317,0.4674,1.44558,1.02193,1.50114,0.0058915,0.0058915,0.0058915
85,2778.37,1.37605,1.12035,1.3738,0.7824,0.69307,0.77579,0.4846,1.38426,1.00682,1.46357,0.005842,0.005842,0.005842
86,2811.32,1.38827,1.1166,1.39074,0.80304,0.71589,0.79655,0.49892,1.38704,0.95727,1.46947,0.0057925,0.0057925,0.0057925
87,2842.02,1.37777,1.10292,1.37507,0.74534,0.73386,0.77483,0.46593,1.45429,0.98559,1.50041,0.005743,0.005743,0.005743
88,2872.54,1.38077,1.09764,1.36826,0.78084,0.71435,0.78515,0.4861,1.41848,0.97249,1.47348,0.0056935,0.0056935,0.0056935
89,2903.1,1.37391,1.09499,1.36861,0.76528,0.72053,0.78275,0.4933,1.38436,0.98948,1.45973,0.005644,0.005644,0.005644
90,2937.15,1.3951,1.09332,1.38797,0.75257,0.72773,0.77415,0.47812,1.41115,0.98851,1.47778,0.0055945,0.0055945,0.0055945
91,2969.67,1.36137,1.06993,1.35949,0.7912,0.68951,0.77025,0.47688,1.42875,0.99332,1.48424,0.005545,0.005545,0.005545
92,3002.78,1.3605,1.04332,1.36154,0.76283,0.74102,0.79254,0.49594,1.39898,0.96724,1.45911,0.0054955,0.0054955,0.0054955
93,3035.81,1.37502,1.08707,1.37058,0.75411,0.73269,0.78506,0.49041,1.381,0.97423,1.45155,0.005446,0.005446,0.005446
94,3068.4,1.35837,1.05679,1.35708,0.73803,0.74647,0.78644,0.47954,1.42958,0.98298,1.4827,0.0053965,0.0053965,0.0053965
95,3101.11,1.376,1.07085,1.37448,0.76082,0.72188,0.78146,0.48606,1.42885,0.97614,1.49464,0.005347,0.005347,0.005347
96,3134.1,1.38638,1.07332,1.3827,0.80867,0.71744,0.80126,0.49707,1.41139,0.93616,1.4715,0.0052975,0.0052975,0.0052975
97,3166.71,1.36334,1.04897,1.35485,0.76252,0.7333,0.79073,0.49921,1.36526,0.96756,1.44982,0.005248,0.005248,0.005248
98,3199.73,1.37268,1.07161,1.36714,0.79702,0.71582,0.79992,0.49957,1.38673,0.97082,1.45666,0.0051985,0.0051985,0.0051985
99,3232.2,1.34873,1.0574,1.3608,0.7566,0.74119,0.79942,0.49109,1.4191,0.9599,1.47848,0.005149,0.005149,0.005149
100,3264.74,1.35081,1.05724,1.35013,0.74166,0.74939,0.79086,0.49782,1.39684,0.93721,1.45245,0.0050995,0.0050995,0.0050995
101,3297.29,1.34616,1.05284,1.34664,0.80544,0.70334,0.78521,0.48452,1.4244,0.96731,1.47689,0.00505,0.00505,0.00505
102,3329.83,1.34564,1.04535,1.35624,0.72767,0.78013,0.79635,0.49687,1.39455,0.9537,1.45604,0.0050005,0.0050005,0.0050005
103,3362.3,1.34998,1.03923,1.36393,0.75664,0.75813,0.80167,0.49343,1.39949,0.9361,1.45966,0.004951,0.004951,0.004951
104,3394.83,1.34683,1.02778,1.34428,0.74689,0.74024,0.79594,0.50071,1.38212,0.9825,1.46368,0.0049015,0.0049015,0.0049015
105,3427.93,1.34682,1.04971,1.34784,0.77,0.71971,0.79326,0.48565,1.40741,0.95727,1.4662,0.004852,0.004852,0.004852
106,3460.57,1.34896,1.04759,1.36656,0.772,0.71419,0.78177,0.48954,1.39636,1.00519,1.46685,0.0048025,0.0048025,0.0048025
107,3493.43,1.34342,1.02964,1.35211,0.77863,0.74074,0.79901,0.50212,1.3839,0.94416,1.44331,0.004753,0.004753,0.004753
108,3525.96,1.32606,1.02791,1.34369,0.77642,0.76001,0.80606,0.50159,1.38141,0.93318,1.46223,0.0047035,0.0047035,0.0047035
109,3558.61,1.34393,1.02848,1.36478,0.77026,0.71899,0.79654,0.50385,1.39362,0.93687,1.4581,0.004654,0.004654,0.004654
110,3591.19,1.33487,1.02182,1.34608,0.8217,0.68368,0.79394,0.49289,1.40697,0.9501,1.47988,0.0046045,0.0046045,0.0046045
111,3623.68,1.31773,1.01751,1.33111,0.76477,0.73227,0.79356,0.50174,1.37049,0.93762,1.43859,0.004555,0.004555,0.004555
112,3656.2,1.32681,1.02048,1.34367,0.73927,0.77523,0.8079,0.50701,1.37783,0.92031,1.44955,0.0045055,0.0045055,0.0045055
